tcn_blocks,tcn_dilations,pooling_type,gru_layers,gru_units,aug_status,early_stop_epoch,val_loss,test_loss,timestamp
2,[2, 2],average,3,256,True,21,339.7344,338.1935,2025-09-25 17:32:43
2,[2, 2],max,1,64,False,80,80.8243,63.4594,2025-09-25 17:32:57
2,[2, 2],max,1,64,True,93,132.0359,125.8810,2025-09-25 17:35:15
2,[2, 2],max,1,128,False,18,513.7025,508.8320,2025-09-25 17:35:18
2,[2, 2],max,1,128,True,120,51.6591,44.4630,2025-09-25 17:38:18
2,[2, 2],max,1,256,False,114,48.0566,51.3970,2025-09-25 17:38:38
2,[2, 2],max,1,256,True,43,145.1054,132.9268,2025-09-25 17:39:43
2,[2, 2],max,2,64,False,21,513.2421,506.2229,2025-09-25 17:39:47
2,[2, 2],max,2,64,True,29,341.9471,338.4226,2025-09-25 17:40:30
2,[2, 2],max,2,128,False,18,512.4300,505.2946,2025-09-25 17:40:34
2,[2, 2],max,2,128,True,29,338.0707,341.2794,2025-09-25 17:41:18
2,[2, 2],max,2,256,False,116,68.8658,58.6487,2025-09-25 17:41:40
2,[2, 2],max,2,256,True,26,337.3404,336.3988,2025-09-25 17:42:19
2,[2, 2],max,3,64,False,31,514.5576,509.0054,2025-09-25 17:42:25
2,[2, 2],max,3,64,True,25,334.8432,335.4182,2025-09-25 17:43:03
2,[2, 2],max,3,128,False,25,512.4182,509.3075,2025-09-25 17:43:07
2,[2, 2],max,3,128,True,20,342.3117,345.1010,2025-09-25 17:43:38
2,[2, 2],max,3,256,False,21,513.4171,509.5644,2025-09-25 17:43:42
2,[2, 2],max,3,256,True,26,338.5125,350.3219,2025-09-25 17:44:22
2,[4, 4],none,1,64,False,79,60.0295,58.4682,2025-09-25 17:44:35
2,[4, 4],none,1,64,True,None,39.9427,42.4143,2025-09-25 17:47:35
2,[4, 4],none,1,128,False,114,44.8522,49.0591,2025-09-25 17:47:54
2,[4, 4],none,1,128,True,115,35.6671,39.5255,2025-09-25 17:50:44
2,[4, 4],none,1,256,False,None,31.5669,32.9289,2025-09-25 17:51:08
2,[4, 4],none,1,256,True,94,36.9773,36.0873,2025-09-25 17:53:30
2,[4, 4],none,2,64,False,None,65.7982,54.6837,2025-09-25 17:53:50
2,[4, 4],none,2,64,True,None,59.9844,54.5956,2025-09-25 17:56:48
2,[4, 4],none,2,128,False,None,59.9039,51.4625,2025-09-25 17:57:09
2,[4, 4],none,2,128,True,19,339.3353,338.8069,2025-09-25 17:57:38
2,[4, 4],none,2,256,False,16,513.2914,506.4267,2025-09-25 17:57:41
2,[4, 4],none,2,256,True,67,135.5539,144.9596,2025-09-25 17:59:26
2,[4, 4],none,3,64,False,22,514.1259,504.4997,2025-09-25 17:59:30
2,[4, 4],none,3,64,True,22,343.3463,344.2989,2025-09-25 18:00:04
2,[4, 4],none,3,128,False,34,513.4572,509.3320,2025-09-25 18:00:10
2,[4, 4],none,3,128,True,24,330.4239,339.7839,2025-09-25 18:00:46
2,[4, 4],none,3,256,False,32,512.8670,508.3121,2025-09-25 18:00:54
2,[4, 4],none,3,256,True,28,340.4186,337.6292,2025-09-25 18:01:39
2,[4, 4],average,1,64,False,97,54.7001,53.0435,2025-09-25 18:01:55
2,[4, 4],average,1,64,True,None,48.3618,46.2794,2025-09-25 18:04:55
2,[4, 4],average,1,128,False,110,44.5899,49.5310,2025-09-25 18:05:13
2,[4, 4],average,1,128,True,None,47.8284,39.2658,2025-09-25 18:08:14
2,[4, 4],average,1,256,False,None,39.5052,38.5608,2025-09-25 18:08:35
2,[4, 4],average,1,256,True,None,36.0196,35.4386,2025-09-25 18:11:36
